Tempo [s],Temperatura [K],Na,Cl,NaCl
0.0,1.080566966869139,90.0,10.0,0.0
0.016666666666666666,1.080566966869139,90.0,10.0,0.0
0.03333333333333333,1.0360396549589401,90.0,10.0,0.0
0.05,0.9707094855354577,90.0,10.0,0.0
0.06666666666666667,0.9711076672661565,90.0,10.0,0.0
0.08333333333333333,0.9165564520203607,90.0,10.0,0.0
0.09999999999999999,0.8853042144025102,90.0,10.0,0.0
0.11666666666666665,0.8579461423567096,90.0,10.0,0.0
0.13333333333333333,0.8557319518868794,89.0,9.0,1.0
0.15,0.8330049028697449,89.0,9.0,1.0
0.16666666666666666,0.8330049028697449,89.0,9.0,1.0
0.18333333333333332,0.7903664333979833,89.0,9.0,1.0
0.19999999999999998,0.7849004839931677,89.0,9.0,1.0
0.21666666666666665,0.7736707001332134,89.0,9.0,1.0
0.2333333333333333,0.7414485212074312,89.0,9.0,1.0
0.24999999999999997,0.7057542043917174,89.0,9.0,1.0
0.26666666666666666,0.680395525045109,87.0,7.0,3.0
0.2833333333333333,0.6669316002248707,87.0,7.0,3.0
0.3,0.6489280146679506,86.0,6.0,4.0
0.31666666666666665,0.6287447147146944,86.0,6.0,4.0
0.3333333333333333,0.6169387688915384,86.0,6.0,4.0
0.35,0.6059638396903521,86.0,6.0,4.0
0.36666666666666664,0.5879273156405851,86.0,6.0,4.0
0.3833333333333333,0.5644435592623802,86.0,6.0,4.0
0.39999999999999997,0.5543565691721122,86.0,6.0,4.0
0.41666666666666663,0.5190185879761363,86.0,6.0,4.0
0.4333333333333333,0.5106195172614691,86.0,6.0,4.0
0.44999999999999996,0.49991109196472044,86.0,6.0,4.0
0.4666666666666666,0.4766006563300057,86.0,6.0,4.0
0.4833333333333333,0.46501345391111476,86.0,6.0,4.0
0.49999999999999994,0.4581311818513747,85.0,5.0,5.0
0.5166666666666666,0.4581311818513747,85.0,5.0,5.0
0.5333333333333333,0.43879711582379155,85.0,5.0,5.0
0.55,0.438814186655482,85.0,5.0,5.0
0.5666666666666668,0.41747381440432674,85.0,5.0,5.0
0.5833333333333335,0.3961033824559294,84.0,4.0,6.0
0.6000000000000002,0.39694668637543956,84.0,4.0,6.0
0.6166666666666669,0.3802149385981729,84.0,4.0,6.0
0.6333333333333336,0.35635768165012793,84.0,4.0,6.0
0.6500000000000004,0.35635768165012793,84.0,4.0,6.0
0.6666666666666671,0.35038685765347255,83.0,3.0,7.0
0.6833333333333338,0.35038685765347255,83.0,3.0,7.0
0.7000000000000005,0.33372089525185133,83.0,3.0,7.0
0.7166666666666672,0.34685751730330144,81.0,2.0,9.0
0.733333333333334,0.330175716268186,81.0,2.0,9.0
0.7500000000000007,0.330175716268186,81.0,2.0,9.0
0.7666666666666674,0.31438069016993586,81.0,2.0,9.0
0.7833333333333341,0.31438069016993586,81.0,2.0,9.0
0.8000000000000008,0.30221813773589185,81.0,2.0,9.0
0.8166666666666675,0.30221813773589185,81.0,2.0,9.0
0.8333333333333343,0.30304539740025277,81.0,2.0,9.0
0.850000000000001,0.30304539740025277,81.0,2.0,9.0
0.8666666666666677,0.30304787086887536,81.0,2.0,9.0
0.8833333333333344,0.30304787086887536,81.0,2.0,9.0
0.9000000000000011,0.28510240812145926,81.0,2.0,9.0
0.9166666666666679,0.28563041592436045,81.0,2.0,9.0
0.9333333333333346,0.28563041592436045,81.0,2.0,9.0
0.9500000000000013,0.28563041592436045,81.0,2.0,9.0
0.966666666666668,0.2894879828373955,80.0,1.0,10.0
0.9833333333333347,0.29554365429810964,80.0,1.0,10.0
1.0000000000000013,0.2813882962908733,80.0,1.0,10.0
1.016666666666668,0.2813882962908733,80.0,1.0,10.0
1.0333333333333345,0.2813882962908733,80.0,1.0,10.0
1.0500000000000012,0.2813882962908733,80.0,1.0,10.0
1.0666666666666678,0.2813882962908733,80.0,1.0,10.0
1.0833333333333344,0.26874971440984186,80.0,1.0,10.0
1.100000000000001,0.27220966380298867,80.0,1.0,10.0
1.1166666666666676,0.2581779217290908,80.0,1.0,10.0
1.1333333333333342,0.24725225807197798,80.0,1.0,10.0
1.1500000000000008,0.24725225807197798,80.0,1.0,10.0
1.1666666666666674,0.23548395871811584,80.0,1.0,10.0
1.183333333333334,0.22901515510733714,80.0,1.0,10.0
1.2000000000000006,0.22901515510733714,80.0,1.0,10.0
1.2166666666666672,0.22901515510733714,80.0,1.0,10.0
1.2333333333333338,0.22901515510733714,80.0,1.0,10.0
1.2500000000000004,0.22901515510733714,80.0,1.0,10.0
1.266666666666667,0.22901515510733714,80.0,1.0,10.0
1.2833333333333337,0.22901515510733714,80.0,1.0,10.0
1.3000000000000003,0.22901515510733714,80.0,1.0,10.0
1.3166666666666669,0.22901515510733714,80.0,1.0,10.0
1.3333333333333335,0.22199065990685954,79.0,0.0,11.0
1.35,0.22199065990685954,79.0,0.0,11.0
1.3666666666666667,0.22199065990685954,79.0,0.0,11.0
1.3833333333333333,0.21805960783717432,79.0,0.0,11.0
1.4,0.20605151833961274,79.0,0.0,11.0
1.4166666666666665,0.20605151833961274,79.0,0.0,11.0
1.4333333333333331,0.20605151833961274,79.0,0.0,11.0
1.4499999999999997,0.2112145594580652,79.0,0.0,11.0
1.4666666666666663,0.21515668755640394,79.0,0.0,11.0
1.483333333333333,0.21515668755640394,79.0,0.0,11.0
1.4999999999999996,0.21515668755640394,79.0,0.0,11.0
1.5166666666666662,0.21515668755640394,79.0,0.0,11.0
1.5333333333333328,0.21515668755640394,79.0,0.0,11.0
1.5499999999999994,0.21515668755640394,79.0,0.0,11.0
1.566666666666666,0.1932491560642361,79.0,0.0,11.0
1.5833333333333326,0.1932491560642361,79.0,0.0,11.0
1.5999999999999992,0.1932491560642361,79.0,0.0,11.0
1.6166666666666658,0.1932491560642361,79.0,0.0,11.0
1.6333333333333324,0.1932491560642361,79.0,0.0,11.0
1.649999999999999,0.1932491560642361,79.0,0.0,11.0
1.6666666666666656,0.1932491560642361,79.0,0.0,11.0
1.6833333333333322,0.1932491560642361,79.0,0.0,11.0
1.6999999999999988,0.19360149518825567,79.0,0.0,11.0
1.7166666666666655,0.19360149518825567,79.0,0.0,11.0
1.733333333333332,0.19371622580145412,79.0,0.0,11.0
1.7499999999999987,0.19371622580145412,79.0,0.0,11.0
1.7666666666666653,0.19371622580145412,79.0,0.0,11.0
1.7833333333333319,0.19371622580145412,79.0,0.0,11.0
1.7999999999999985,0.19371622580145412,79.0,0.0,11.0
1.816666666666665,0.19371622580145412,79.0,0.0,11.0
1.8333333333333317,0.19371622580145412,79.0,0.0,11.0
1.8499999999999983,0.198827897511491,79.0,0.0,11.0
1.866666666666665,0.198827897511491,79.0,0.0,11.0
1.8833333333333315,0.198827897511491,79.0,0.0,11.0
1.8999999999999981,0.19309807967650452,79.0,0.0,11.0
1.9166666666666647,0.19309807967650452,79.0,0.0,11.0
1.9333333333333313,0.19309807967650452,79.0,0.0,11.0
1.949999999999998,0.1848714798802007,79.0,0.0,11.0
1.9666666666666646,0.1848714798802007,79.0,0.0,11.0
1.9833333333333312,0.1848714798802007,79.0,0.0,11.0
1.9999999999999978,0.1848714798802007,79.0,0.0,11.0
2.0166666666666644,0.1848714798802007,79.0,0.0,11.0
2.033333333333331,0.1848714798802007,79.0,0.0,11.0
2.0499999999999976,0.17796112219091606,79.0,0.0,11.0
2.066666666666664,0.17796112219091606,79.0,0.0,11.0
2.083333333333331,0.17796112219091606,79.0,0.0,11.0
2.0999999999999974,0.17796112219091606,79.0,0.0,11.0
2.116666666666664,0.17796112219091606,79.0,0.0,11.0
2.1333333333333306,0.17796112219091606,79.0,0.0,11.0
2.1499999999999972,0.17796112219091606,79.0,0.0,11.0
2.166666666666664,0.17796112219091606,79.0,0.0,11.0
2.1833333333333305,0.17796112219091606,79.0,0.0,11.0
2.199999999999997,0.17796112219091606,79.0,0.0,11.0
2.2166666666666637,0.17715415909371374,79.0,0.0,11.0
2.2333333333333303,0.17715415909371374,79.0,0.0,11.0
2.249999999999997,0.17715415909371374,79.0,0.0,11.0
2.2666666666666635,0.17715415909371374,79.0,0.0,11.0
2.28333333333333,0.17587752417043517,79.0,0.0,11.0
2.2999999999999967,0.17587752417043517,79.0,0.0,11.0
2.3166666666666633,0.17587752417043517,79.0,0.0,11.0
2.33333333333333,0.17587752417043517,79.0,0.0,11.0
2.3499999999999965,0.17587752417043517,79.0,0.0,11.0
2.366666666666663,0.17587752417043517,79.0,0.0,11.0
2.3833333333333298,0.17013281177560508,79.0,0.0,11.0
2.3999999999999964,0.17013281177560508,79.0,0.0,11.0
2.416666666666663,0.17013281177560508,79.0,0.0,11.0
2.4333333333333296,0.17013281177560508,79.0,0.0,11.0
2.449999999999996,0.17013281177560508,79.0,0.0,11.0
2.466666666666663,0.17013281177560508,79.0,0.0,11.0
2.4833333333333294,0.17013281177560508,79.0,0.0,11.0
2.499999999999996,0.17013281177560508,79.0,0.0,11.0
2.5166666666666626,0.17013281177560508,79.0,0.0,11.0
2.533333333333329,0.17013281177560508,79.0,0.0,11.0
2.549999999999996,0.17013281177560508,79.0,0.0,11.0
2.5666666666666624,0.17013281177560508,79.0,0.0,11.0
2.583333333333329,0.1693375083048987,79.0,0.0,11.0
2.5999999999999956,0.1693375083048987,79.0,0.0,11.0
2.6166666666666623,0.1693375083048987,79.0,0.0,11.0
2.633333333333329,0.1693375083048987,79.0,0.0,11.0
2.6499999999999955,0.1693375083048987,79.0,0.0,11.0
2.666666666666662,0.1693375083048987,79.0,0.0,11.0
2.6833333333333287,0.1693375083048987,79.0,0.0,11.0
2.6999999999999953,0.1693375083048987,79.0,0.0,11.0
2.716666666666662,0.1693375083048987,79.0,0.0,11.0
2.7333333333333285,0.15678547674233484,79.0,0.0,11.0
2.749999999999995,0.15678547674233484,79.0,0.0,11.0
2.7666666666666617,0.15678547674233484,79.0,0.0,11.0
2.7833333333333283,0.15678547674233484,79.0,0.0,11.0
2.799999999999995,0.15295837405490123,79.0,0.0,11.0
2.8166666666666615,0.15290098815886274,79.0,0.0,11.0
2.833333333333328,0.15290098815886274,79.0,0.0,11.0
2.8499999999999948,0.15290098815886274,79.0,0.0,11.0
2.8666666666666614,0.15290098815886274,79.0,0.0,11.0
2.883333333333328,0.15290098815886274,79.0,0.0,11.0
2.8999999999999946,0.15413746310574286,79.0,0.0,11.0
2.916666666666661,0.15413746310574286,79.0,0.0,11.0
2.933333333333328,0.15909891451859154,79.0,0.0,11.0
2.9499999999999944,0.15909891451859154,79.0,0.0,11.0
2.966666666666661,0.15909891451859154,79.0,0.0,11.0
2.9833333333333276,0.15909891451859154,79.0,0.0,11.0
2.9999999999999942,0.15909891451859154,79.0,0.0,11.0
3.016666666666661,0.15909891451859154,79.0,0.0,11.0
3.0333333333333274,0.15909891451859154,79.0,0.0,11.0
3.049999999999994,0.15909891451859154,79.0,0.0,11.0
3.0666666666666607,0.15909891451859154,79.0,0.0,11.0
3.0833333333333273,0.15909891451859154,79.0,0.0,11.0
3.099999999999994,0.15909891451859154,79.0,0.0,11.0
3.1166666666666605,0.15909891451859154,79.0,0.0,11.0
3.133333333333327,0.15909891451859154,79.0,0.0,11.0
3.1499999999999937,0.15909891451859154,79.0,0.0,11.0
3.1666666666666603,0.15835044199449505,79.0,0.0,11.0
3.183333333333327,0.15835044199449505,79.0,0.0,11.0
3.1999999999999935,0.15835044199449505,79.0,0.0,11.0
3.21666666666666,0.15835044199449505,79.0,0.0,11.0
3.2333333333333267,0.15835044199449505,79.0,0.0,11.0
3.2499999999999933,0.15835044199449505,79.0,0.0,11.0
3.26666666666666,0.15835044199449505,79.0,0.0,11.0
3.2833333333333266,0.15835044199449505,79.0,0.0,11.0
3.299999999999993,0.15835044199449505,79.0,0.0,11.0
3.3166666666666598,0.15835044199449505,79.0,0.0,11.0
3.3333333333333264,0.15835044199449505,79.0,0.0,11.0
3.349999999999993,0.15835044199449505,79.0,0.0,11.0
3.3666666666666596,0.15835044199449505,79.0,0.0,11.0
3.383333333333326,0.15835044199449505,79.0,0.0,11.0
3.399999999999993,0.15835044199449505,79.0,0.0,11.0
3.4166666666666594,0.15835044199449505,79.0,0.0,11.0
3.433333333333326,0.15835044199449505,79.0,0.0,11.0
3.4499999999999926,0.15835044199449505,79.0,0.0,11.0
3.4666666666666592,0.15835044199449505,79.0,0.0,11.0
3.483333333333326,0.15835044199449505,79.0,0.0,11.0
3.4999999999999925,0.15835044199449505,79.0,0.0,11.0
3.516666666666659,0.15835044199449505,79.0,0.0,11.0
3.5333333333333257,0.15835044199449505,79.0,0.0,11.0
3.5499999999999923,0.15835044199449505,79.0,0.0,11.0
3.566666666666659,0.15835044199449505,79.0,0.0,11.0
3.5833333333333255,0.15835044199449505,79.0,0.0,11.0
3.599999999999992,0.15835044199449505,79.0,0.0,11.0
3.6166666666666587,0.15740896592515616,79.0,0.0,11.0
3.6333333333333253,0.15740896592515616,79.0,0.0,11.0
3.649999999999992,0.15740896592515616,79.0,0.0,11.0
3.6666666666666585,0.15740896592515616,79.0,0.0,11.0
3.683333333333325,0.15740896592515616,79.0,0.0,11.0
3.6999999999999917,0.15740896592515616,79.0,0.0,11.0
3.7166666666666583,0.14948906327277112,79.0,0.0,11.0
3.733333333333325,0.14948906327277112,79.0,0.0,11.0
3.7499999999999916,0.14948906327277112,79.0,0.0,11.0
3.766666666666658,0.14948906327277112,79.0,0.0,11.0
3.7833333333333248,0.15168865948071464,79.0,0.0,11.0
3.7999999999999914,0.15168865948071464,79.0,0.0,11.0
3.816666666666658,0.15168865948071464,79.0,0.0,11.0
3.8333333333333246,0.15168865948071464,79.0,0.0,11.0
3.849999999999991,0.15168865948071464,79.0,0.0,11.0
3.866666666666658,0.15168865948071464,79.0,0.0,11.0
3.8833333333333244,0.15168865948071464,79.0,0.0,11.0
3.899999999999991,0.15168865948071464,79.0,0.0,11.0
3.9166666666666576,0.15168865948071464,79.0,0.0,11.0
3.9333333333333242,0.15168865948071464,79.0,0.0,11.0
3.949999999999991,0.15168865948071464,79.0,0.0,11.0
3.9666666666666575,0.15168865948071464,79.0,0.0,11.0
3.983333333333324,0.15168865948071464,79.0,0.0,11.0
3.9999999999999907,0.15168865948071464,79.0,0.0,11.0
4.016666666666658,0.15168865948071464,79.0,0.0,11.0
4.033333333333324,0.15168865948071464,79.0,0.0,11.0
4.049999999999991,0.15168865948071464,79.0,0.0,11.0
4.0666666666666575,0.15168865948071464,79.0,0.0,11.0
4.083333333333324,0.15168865948071464,79.0,0.0,11.0
4.099999999999991,0.15168865948071464,79.0,0.0,11.0
4.116666666666657,0.15168865948071464,79.0,0.0,11.0
4.133333333333324,0.15168865948071464,79.0,0.0,11.0
4.149999999999991,0.15168865948071464,79.0,0.0,11.0
4.166666666666657,0.15168865948071464,79.0,0.0,11.0
4.183333333333324,0.15168865948071464,79.0,0.0,11.0
4.19999999999999,0.15168865948071464,79.0,0.0,11.0
4.216666666666657,0.15168865948071464,79.0,0.0,11.0
4.233333333333324,0.15168865948071464,79.0,0.0,11.0
4.24999999999999,0.15168865948071464,79.0,0.0,11.0
4.266666666666657,0.15168865948071464,79.0,0.0,11.0
4.2833333333333234,0.15168865948071464,79.0,0.0,11.0
4.29999999999999,0.15168865948071464,79.0,0.0,11.0
4.316666666666657,0.15168865948071464,79.0,0.0,11.0
4.333333333333323,0.15168865948071464,79.0,0.0,11.0
4.34999999999999,0.15168865948071464,79.0,0.0,11.0
4.3666666666666565,0.15168865948071464,79.0,0.0,11.0
4.383333333333323,0.15168865948071464,79.0,0.0,11.0
4.39999999999999,0.15168865948071464,79.0,0.0,11.0
4.416666666666656,0.15168865948071464,79.0,0.0,11.0
4.433333333333323,0.15168865948071464,79.0,0.0,11.0
4.4499999999999895,0.15168865948071464,79.0,0.0,11.0
4.466666666666656,0.15168865948071464,79.0,0.0,11.0
4.483333333333323,0.15168865948071464,79.0,0.0,11.0
4.499999999999989,0.15168865948071464,79.0,0.0,11.0
4.516666666666656,0.15168865948071464,79.0,0.0,11.0
4.533333333333323,0.15168865948071464,79.0,0.0,11.0
4.549999999999989,0.15168865948071464,79.0,0.0,11.0
4.566666666666656,0.15168865948071464,79.0,0.0,11.0
4.583333333333322,0.15168865948071464,79.0,0.0,11.0
4.599999999999989,0.15168865948071464,79.0,0.0,11.0
4.616666666666656,0.15168865948071464,79.0,0.0,11.0
4.633333333333322,0.15168865948071464,79.0,0.0,11.0
4.649999999999989,0.15168865948071464,79.0,0.0,11.0
4.666666666666655,0.15168865948071464,79.0,0.0,11.0
4.683333333333322,0.15168865948071464,79.0,0.0,11.0
4.699999999999989,0.15168865948071464,79.0,0.0,11.0
4.716666666666655,0.15168865948071464,79.0,0.0,11.0
4.733333333333322,0.15168865948071464,79.0,0.0,11.0
4.7499999999999885,0.15168865948071464,79.0,0.0,11.0
4.766666666666655,0.15168865948071464,79.0,0.0,11.0
4.783333333333322,0.15168865948071464,79.0,0.0,11.0
4.799999999999988,0.15168865948071464,79.0,0.0,11.0
4.816666666666655,0.15168865948071464,79.0,0.0,11.0
4.8333333333333215,0.15168865948071464,79.0,0.0,11.0
4.849999999999988,0.15168865948071464,79.0,0.0,11.0
4.866666666666655,0.15168865948071464,79.0,0.0,11.0
4.883333333333321,0.15168865948071464,79.0,0.0,11.0
4.899999999999988,0.15168865948071464,79.0,0.0,11.0
4.9166666666666545,0.15168865948071464,79.0,0.0,11.0
4.933333333333321,0.15168865948071464,79.0,0.0,11.0
4.949999999999988,0.15168865948071464,79.0,0.0,11.0
4.966666666666654,0.15168865948071464,79.0,0.0,11.0
4.983333333333321,0.15168865948071464,79.0,0.0,11.0
